practice_id,cont_week,cases,sinwe,coswe,population,uk_imdquintile
25,18,2,0.8229838658936565,-0.5680647467311557,5710,3
25,19,1,0.7485107481711013,-0.663122658240795,5710,3
25,20,1,0.6631226582407952,-0.7485107481711012,5710,3
25,21,2,0.5680647467311558,-0.8229838658936564,5710,3
25,23,1,0.35460488704253584,-0.9350162426854147,5710,3
25,24,1,0.23931566428755768,-0.970941817426052,5710,3
25,26,1,-3.216285744678249e-16,-1,5710,3
25,27,1,-0.12053668025532283,-0.992708874098054,5710,3
25,30,1,-0.46472317204376806,-0.8854560256532101,5710,3
25,37,1,-0.970941817426052,-0.23931566428755774,5710,3
25,38,1,-0.992708874098054,-0.12053668025532357,5710,3
25,39,2,-1,-1.836909530733566e-16,5710,3
25,41,3,-0.9709418174260521,0.23931566428755738,5710,3
25,42,1,-0.9350162426854148,0.35460488704253557,5710,3
25,43,1,-0.8854560256532101,0.464723172043768,5710,3
25,46,1,-0.6631226582407955,0.7485107481711007,5710,3
25,47,2,-0.5680647467311559,0.8229838658936564,5710,3
25,48,2,-0.4647231720437684,0.88545602565321,5710,3
25,51,3,-0.12053668025532363,0.992708874098054,5710,3
25,54,1,0.23931566428755732,0.9709418174260521,5710,3
25,55,1,0.3546048870425355,0.9350162426854148,5710,3
25,61,4,0.8854560256532099,0.46472317204376845,5710,3
25,62,2,0.9350162426854147,0.354604887042536,5710,3
25,66,2,0.992708874098054,-0.12053668025532309,5710,3
25,67,2,0.9709418174260519,-0.23931566428755813,5710,3
25,68,3,0.9350162426854148,-0.35460488704253545,5710,3
25,69,2,0.8854560256532102,-0.4647231720437679,5710,3
25,70,2,0.8229838658936571,-0.5680647467311547,5710,3
25,71,1,0.7485107481711012,-0.6631226582407952,5710,3
25,72,1,0.6631226582407956,-0.7485107481711006,5710,3
25,73,2,0.5680647467311568,-0.8229838658936557,5710,3
25,74,2,0.4647231720437685,-0.8854560256532099,5710,3
25,75,1,0.35460488704253607,-0.9350162426854146,5710,3
25,76,2,0.23931566428755877,-0.9709418174260518,5710,3
25,77,1,0.12053668025532287,-0.992708874098054,5710,3
25,78,3,3.673819061467132e-16,-1,5710,3
25,79,3,-0.12053668025532391,-0.9927088740980539,5710,3
25,81,1,-0.3546048870425354,-0.93501624268541494,5710,3
25,82,1,-0.46472317204376784,-0.8854560256532102,5710,3
25,84,1,-0.6631226582407951,-0.7485107481711012,5710,3
25,88,1,-0.935016242685414,-0.3546048870425378,5710,3
26,19,1,0.7485107481711013,-0.663122658240795,5297,3
26,20,2,0.6631226582407952,-0.7485107481711012,5297,3
26,22,1,0.46472317204376906,-0.8854560256532096,5297,3
26,24,1,0.23931566428755768,-0.970941817426052,5297,3
26,25,1,0.12053668025532308,-0.992708874098054,5297,3
26,27,1,-0.12053668025532283,-0.992708874098054,5297,3
26,29,1,-0.3546048870425356,-0.9350162426854148,5297,3
26,32,1,-0.663122658240795,-0.7485107481711013,5297,3
26,34,1,-0.8229838658936564,-0.5680647467311559,5297,3
26,41,1,-0.9709418174260521,0.23931566428755738,5297,3
